价格,市,省/直辖市,标题,店名,销量
41.1,杭州,浙江,冲锋裤男士潮牌秋冬加绒新款防风宽松直筒运动工装休闲大码长裤子,leonbinno雷尔宾诺旗舰店,5.0
53.0,杭州,浙江,扎染卫裤男冬季新款加厚青少年男生男士男裤休闲宽松直筒工装裤子,港仔四季男装,100.0
160.0,泉州,福建,Jeep户外徒步冲锋裤秋冬季美式宽松直筒休闲防泼水工装裤,Jeep SPIRIT户外,300.0
49.99,杭州,浙江,军绿色弯刀迷彩裤男加绒修身伐木工装裤子美式高街直筒微喇牛仔裤,蛊惑旗舰店,1.0
160.0,泉州,福建,Jeep山系户外撞色拉链冲锋工装裤男女秋季徒步登山休闲裤,Jeep SPIRIT户外,1000.0
115.0,杭州,浙江,City Hipster 美式复古牛仔裤男秋冬季潮牌加绒裤子宽松直筒长裤,City Hipster,3.0
114.0,泉州,福建,JEEP吉普美式休闲工装裤子男2025新款宽松直筒机能冲锋裤子男款潮,JEEP SPIRIT 奥莱浙仓,200.0
59.0,揭阳,广东,冲锋裤防水男士休闲春秋季2025新款冬季加绒美式宽松直筒工装裤子,一个最帅的买了,2.0
98.8,广州,广东,工装牛仔裤男款秋冬宽松直筒男生加绒裤子冬季微喇裤美式休闲长裤,卓楷旗舰店,1.0
70.2,杭州,浙江,麻花抽绳牛仔裤男秋冬美式水洗阔腿裤工装裤直筒宽松休闲高街裤子,leonbinno雷尔宾诺旗舰店,5000.0
68.26,泉州,福建,工装裤男士春秋季潮牌宽松直筒阔腿裤子男款卡其色拖地运动休闲裤,geogrealex服饰旗舰店,800.0
98.8,广州,广东,工装裤男2025新款加绒加厚抽绳直筒裤拼接褶皱美式潮牌伞兵裤秋冬,szon旗舰店,4.0
76.72698689956333,杭州,浙江,黑色工装裤女2025新款小个子秋冬宽松防风防水登山加绒大码冲锋裤,淑媚诗旗舰店,1.0
65.1,广州,广东,【中国回力】美式黑色加绒加厚牛仔裤男款秋冬季水洗直筒阔腿长裤,回力街头酷盖服饰店,41.0
52.38,未知,未知,韩系高级感穿搭卫衣早秋2025新款美式三条杆搭配条纹复古风工装裤,悦纹鸟潮流穿搭,99.0
88.0,杭州,浙江,@港仔文艺男 军绿色工装裤男冬季加绒加厚男款直筒阔腿休闲裤子,港仔文艺男,700.0
124.0,杭州,浙江,BLRY 冲锋裤子男女秋季美式条纹休闲长裤冬季加绒潮牌宽松直筒裤,BLRY表里如一,9000.0
